timestamps,TP9,AF7,AF8,TP10
1742210892.063,-1000.0,-974.609,-986.816,-1000.0
1742210892.067,-814.453,-1000.0,-958.008,-556.152
1742210892.071,-99.121,73.242,87.402,830.078
1742210892.075,-1000.0,-900.391,-1000.0,-857.91
1742210892.079,-249.512,918.945,-117.676,253.418
1742210892.083,-960.938,964.844,-978.516,-1000.0
1742210892.087,-929.199,983.398,-943.848,-451.172
1742210892.09,291.016,926.27,112.793,900.879
1742210892.094,-1000.0,-996.582,-1000.0,-880.859
1742210892.098,-339.355,885.254,-316.406,282.715
1742210892.102,-808.594,-463.867,952.637,-1000.0
1742210892.106,237.793,-1000.0,-908.691,-961.426
1742210892.063,-1000.0,-974.609,-986.816,-1000.0
1742210892.067,-814.453,-1000.0,-958.008,-556.152
1742210892.071,-99.121,73.242,87.402,830.078
1742210892.075,-1000.0,-900.391,-1000.0,-857.91
1742210892.079,-249.512,918.945,-117.676,253.418
1742210892.083,-960.938,964.844,-978.516,-1000.0
1742210892.087,-929.199,983.398,-943.848,-451.172
1742210892.09,291.016,926.27,112.793,900.879
1742210892.094,-1000.0,-996.582,-1000.0,-880.859
1742210892.098,-339.355,885.254,-316.406,282.715
1742210892.102,-808.594,-463.867,952.637,-1000.0
1742210892.106,237.793,-1000.0,-908.691,-961.426
1742210892.063,-852.539,-1000.0,916.504,-256.836
1742210892.067,-882.324,-525.391,747.559,-837.402
1742210892.071,666.016,845.703,917.48,446.777
1742210892.075,-945.801,-979.98,994.141,-917.48
1742210892.079,904.785,916.992,959.961,-1000.0
1742210892.083,983.887,993.652,972.168,-237.793
1742210892.087,980.957,901.367,952.637,-874.023
1742210892.09,898.438,-891.602,966.309,633.301
1742210892.094,-896.973,336.914,971.191,-743.164
1742210892.098,399.902,-1000.0,970.215,-1000.0
1742210892.102,-904.297,-962.891,983.398,-364.258
1742210892.106,-1000.0,-994.141,858.398,955.566
1742210892.063,-852.539,-1000.0,916.504,-256.836
1742210892.067,-882.324,-525.391,747.559,-837.402
1742210892.071,666.016,845.703,917.48,446.777
1742210892.075,-945.801,-979.98,994.141,-917.48
1742210892.079,904.785,916.992,959.961,-1000.0
1742210892.083,983.887,993.652,972.168,-237.793
1742210892.087,980.957,901.367,952.637,-874.023
1742210892.09,898.438,-891.602,966.309,633.301
1742210892.094,-896.973,336.914,971.191,-743.164
1742210892.098,399.902,-1000.0,970.215,-1000.0
1742210892.102,-904.297,-962.891,983.398,-364.258
1742210892.106,-1000.0,-994.141,858.398,955.566
1742210892.063,-852.539,-1000.0,916.504,-256.836
1742210892.067,-882.324,-525.391,747.559,-837.402
1742210892.071,666.016,845.703,917.48,446.777
1742210892.075,-945.801,-979.98,994.141,-917.48
1742210892.079,904.785,916.992,959.961,-1000.0
1742210892.083,983.887,993.652,972.168,-237.793
1742210892.087,980.957,901.367,952.637,-874.023
1742210892.09,898.438,-891.602,966.309,633.301
1742210892.094,-896.973,336.914,971.191,-743.164
1742210892.098,399.902,-1000.0,970.215,-1000.0
1742210892.102,-904.297,-962.891,983.398,-364.258
1742210892.106,-1000.0,-994.141,858.398,955.566
1742210892.063,-592.285,-934.082,889.648,-986.328
1742210892.067,791.016,443.848,988.77,-253.418
1742210892.071,-966.797,-911.621,942.383,-1000.0
1742210892.075,912.109,904.785,-949.219,-236.328
1742210892.079,985.84,980.469,544.434,959.473
